1chr_position	sample3	sample1	sample4	sample2
chr20,30582593,30583262	0.342	0.133	0.126	NA
chr20,36197129,36197942	0.875	0.846	0.857	0.582
chr20,24095610,24096671	0.360	0.675	0.888	0.864
chr20,58509512,58509609	NA	0.278	0.273	0.000
chr20,38110412,38111812	0.900	0.941	0.900	0.486
chr20,56147256,56149279	0.789	0.711	0.565	0.452
chr20,34967150,34968126	0.956	0.765	0.914	0.500
chr20,40296100,40296615	0.556	0.846	0.917	0.600
chr20,61634948,61635199	0.933	0.429	0.967	1.000
chr20,59533914,59535154	0.700	0.321	0.529	1.000
chr20,2613294,2614908	0.682	0.800	0.931	0.544
chr20,42478632,42478867	NA	NA	0.980	0.000
chr20,46564043,46564752	0.581	0.895	0.944	0.857
chr20,21511875,21513427	0.955	0.679	0.571	1.000
chr20,33748832,33748996	NA	0.636	NA	1.000
chr20,47102335,47103050	0.690	0.784	0.581	0.292
chr20,19500894,19501903	0.929	0.613	0.949	0.900
chr20,62127219,62128436	0.700	0.182	0.219	0.320
chr20,12357158,12359663	0.803	0.776	0.959	0.667
chr20,51133993,51135631	0.875	0.120	NA	0.200
chr20,49094796,49095394	0.088	0.560	0.432	0.833
chr20,56386243,56386861	0.389	0.667	0.221	0.640
chr20,15178750,15182022	0.903	0.957	0.840	0.811
chr20,61535491,61535897	1.000	0.944	1.000	0.676
chr20,46696388,46697526	0.517	0.927	0.918	0.956
chr20,61162063,61162111	NA	NA	0.750	1.000
chr20,14950736,14956318	0.705	0.797	0.881	0.691
chr20,60623188,60624324	0.963	0.804	0.925	0.967
chr20,56211676,56215360	0.865	0.965	0.905	0.790
chr20,33857295,33857675	0.154	NA	0.706	NA
chr20,18499113,18500121	0.583	0.930	0.861	0.938
chr20,5505882,5506507	NA	0.792	0.800	0.482
chr20,17117782,17118228	0.960	0.207	0.909	0.656
chr20,61012987,61013047	NA	0.571	1.000	NA
chr20,60334929,60335857	0.679	0.800	0.914	0.625
chr20,37909313,37910996	0.816	0.857	0.940	0.618
chr20,60216110,60218203	0.474	0.409	0.781	0.250
chr20,1928566,1929435	0.364	0.538	0.818	1.000
chr20,61290211,61290375	NA	0.950	0.733	0.000
chr20,45100858,45101608	NA	0.917	0.974	0.636
chr20,12004357,12004538	NA	0.846	0.667	1.000
chr20,50540781,50541114	0.818	0.102	NA	1.000
chr20,6534252,6534658	0.750	0.160	NA	NA
chr20,33762053,33762307	0.889	0.889	0.559	NA
chr20,56936522,56936906	1.000	1.000	0.714	NA
chr20,16539409,16542058	0.923	0.806	0.729	0.648
chr20,21541261,21542316	0.939	1.000	0.669	1.000
chr20,34315161,34315457	0.176	NA	0.833	NA
chr20,48060002,48062671	0.730	0.769	0.699	0.387
chr20,32972557,32973110	0.625	0.933	1.000	1.000
chr20,21070426,21070770	0.375	0.671	0.611	0.045
chr20,21334237,21334694	NA	1.000	NA	0.300
chr20,54526480,54531940	0.741	0.924	0.838	0.500
chr20,38188179,38188878	0.182	0.727	0.957	1.000
chr20,37803041,37803472	NA	0.364	NA	1.000
chr20,62563662,62564393	NA	0.767	0.753	0.982
chr20,36510151,36510794	0.881	0.743	0.605	0.923
chr20,8915215,8916263	0.421	0.884	0.780	NA
chr20,26052475,26053036	0.786	0.267	0.656	0.071
chr20,41138247,41142300	0.897	0.852	0.607	0.753
chr20,60812191,60813011	NA	0.954	0.652	0.578
chr20,44343472,44344425	NA	0.744	0.882	1.000
chr20,52201527,52203392	NA	0.590	0.412	0.000
chr20,7036563,7045021	0.777	0.896	0.874	0.684
chr20,54075948,54077275	1.000	1.000	0.696	0.897
chr20,7222564,7223575	0.500	0.111	NA	1.000
chr20,40801708,40805610	0.667	0.515	0.451	0.201
chr20,52443371,52445076	1.000	0.743	0.783	0.878
chr20,56944745,56945277	1.000	1.000	0.991	0.556
chr20,54327194,54328242	0.769	0.091	0.692	NA
chr20,57572536,57572926	0.778	1.000	0.786	1.000
chr20,14500564,14500617	NA	0.143	NA	0.667
chr20,19237615,19238844	0.903	0.966	0.663	0.583
chr20,56192363,56193552	0.571	0.545	0.556	1.000
chr20,30163774,30163962	NA	NA	0.975	0.333
chr20,48950037,48950238	0.120	0.133	0.132	0.619
chr20,7549740,7550316	0.632	1.000	NA	1.000
chr20,36819480,36820108	0.690	0.727	0.696	1.000
chr20,23682699,23683045	0.207	0.739	NA	0.593
chr20,2304528,2306093	0.979	0.900	0.938	0.587
chr20,62888275,62888341	1.000	0.929	0.615	0.875
chr20,10429740,10431138	0.933	1.000	0.852	0.412
chr20,24355582,24356887	0.919	0.909	0.968	0.755
chr20,24411077,24413025	0.967	0.636	0.958	NA
chr20,34456867,34457806	NA	0.950	0.764	1.000
chr20,50423550,50424022	0.357	0.667	0.812	0.444
chr20,61147895,61148129	0.032	0.202	0.000	NA
chr20,40881992,40883523	0.227	0.824	0.857	0.560
chr20,52080209,52082764	1.000	0.966	0.848	0.923
chr20,41979173,41979498	NA	0.909	0.947	0.542
chr20,60516558,60516782	0.846	NA	0.571	1.000
chr20,52275333,52275698	NA	1.000	1.000	0.647
chr20,10781034,10786515	0.987	0.954	0.819	0.543
chr20,50950654,50950854	0.983	0.708	0.784	0.818
chr20,45410601,45411450	NA	0.985	0.738	0.550
chr20,46052208,46052560	1.000	1.000	NA	0.839
chr20,44096481,44097828	0.833	0.987	0.729	0.741
chr20,16052209,16054605	0.846	0.897	0.690	0.980
chr20,31858118,31859422	0.979	0.773	0.800	NA
chr20,36660582,36661807	0.380	0.460	0.257	0.063
chr20,16028178,16028636	NA	0.619	1.000	1.000
chr20,45073617,45074598	NA	0.929	0.971	0.633
chr20,34804799,34805743	0.757	0.800	0.800	0.481
chr20,52763912,52763993	1.000	0.410	1.000	NA
chr20,46822573,46823316	NA	0.769	0.992	NA
chr20,62544425,62544779	NA	0.172	0.156	0.973
chr20,2013385,2015145	0.920	0.957	0.639	0.700
chr20,22933576,22934155	1.000	1.000	1.000	0.462
chr20,60340265,60340684	0.476	1.000	0.839	0.825
chr20,9089781,9091753	0.583	0.976	0.600	0.739
chr20,32745539,32747005	0.727	0.898	0.558	0.901
chr20,13227045,13228117	0.636	0.886	0.438	0.364
chr20,7218336,7219162	0.909	0.925	0.969	0.579
chr20,62629281,62629469	1.000	0.918	0.650	0.614
chr20,29516171,29516793	0.887	0.890	0.741	0.125
chr20,12902579,12903371	0.840	0.783	0.500	1.000
chr20,56186138,56186503	1.000	0.862	0.667	NA
chr20,48278049,48278337	0.903	0.781	0.312	0.778
chr20,44102252,44104197	0.467	0.700	0.609	0.962
chr20,62010037,62010611	0.700	0.704	0.441	0.941
chr20,16167544,16168076	NA	0.429	0.973	NA
chr20,30699750,30700554	0.968	0.737	0.545	0.903
chr20,56930261,56931226	1.000	0.824	0.909	0.545
chr20,19895027,19895433	0.957	0.947	0.848	0.660
chr20,36170906,36172593	0.600	0.920	0.742	0.538
chr20,30797853,30799178	0.944	0.980	0.778	0.759
chr20,12853773,12855658	0.854	0.946	0.703	0.667
chr20,1056179,1058374	0.829	0.833	0.812	0.565
chr20,32572411,32573899	1.000	0.692	0.951	0.167
chr20,30337801,30338557	0.977	1.000	0.574	0.810
chr20,41356687,41356945	0.600	0.111	NA	NA
chr20,47384898,47385158	NA	1.000	0.852	1.000
chr20,6979150,6979746	0.480	0.733	NA	1.000
chr20,19156173,19156967	1.000	1.000	1.000	0.848
chr20,53811101,53812717	0.886	0.857	0.914	0.625
chr20,29811674,29812224	0.474	0.712	0.539	0.736
chr20,39315684,39316151	0.164	0.044	0.297	0.167
chr20,47409612,47410728	0.900	0.838	0.679	0.893
chr20,30518669,30518805	NA	NA	0.133	0.615
chr20,12172683,12173243	0.949	0.852	0.756	0.983
chr20,8326672,8328931	0.857	0.808	0.929	0.462
chr20,4901845,4902634	1.000	NA	0.818	0.467
chr20,24632806,24633411	0.778	0.920	0.829	0.600
chr20,48816686,48818407	1.000	0.615	0.739	0.387
chr20,14689324,14689552	0.821	1.000	NA	1.000
chr20,43918865,43920312	0.680	0.746	0.841	0.313
chr20,3234353,3235717	0.714	0.962	0.973	0.635
chr20,41646461,41647217	0.971	0.800	0.875	0.706
chr20,35805841,35806531	0.121	0.417	0.583	0.571
chr20,49322579,49322652	NA	NA	0.514	1.000
chr20,9821407,9824348	0.971	0.878	0.906	0.738
chr20,30037461,30039032	0.793	0.825	0.942	0.571
chr20,6166136,6166456	NA	NA	0.115	0.677
chr20,24126759,24128725	0.913	0.829	0.730	0.675
chr20,13523967,13526451	0.987	0.886	0.893	0.536
chr20,17992858,17993150	0.526	1.000	0.875	0.818
chr20,47285080,47285878	0.833	0.929	0.641	0.529
chr20,36500216,36500431	1.000	NA	0.955	0.719
chr20,56419335,56420951	0.941	0.862	0.774	0.771
chr20,2103603,2105008	0.675	0.985	0.943	0.856
chr20,60528283,60529027	0.983	0.723	0.774	0.673
chr20,40343781,40346326	0.476	0.750	0.821	0.471
chr20,48388944,48389208	NA	0.062	0.833	NA
chr20,55047143,55047679	1.000	1.000	NA	0.609
chr20,60945862,60946778	0.250	0.744	0.520	0.471
chr20,47143657,47144082	NA	0.438	0.818	0.714
chr20,24218496,24219915	0.786	0.677	NA	1.000
chr20,50033733,50034051	0.457	NA	0.093	0.143
chr20,39955598,39956612	0.912	0.567	0.765	1.000
chr20,16133072,16137267	0.686	0.940	0.949	0.511
chr20,43781148,43781899	0.917	0.222	NA	0.600
chr20,42433570,42435704	0.750	0.895	0.783	1.000
chr20,39595592,39596402	1.000	1.000	0.868	1.000
chr20,2141268,2142030	0.579	0.977	0.692	0.878
chr20,11359914,11360872	0.800	0.766	0.200	0.875
chr20,38812553,38814727	1.000	0.944	0.989	0.828
chr20,51497166,51500869	0.522	0.957	0.455	0.762
chr20,37577720,37577928	0.950	0.476	NA	NA
chr20,26112222,26113937	0.400	0.803	0.646	0.540
chr20,1301495,1302008	0.453	0.727	0.983	0.875
chr20,58219717,58220661	0.920	0.765	0.816	0.984
chr20,31350509,31350813	NA	0.000	0.214	0.000
chr20,34605639,34605776	NA	0.569	0.952	NA
chr20,36903702,36904459	0.381	NA	0.846	NA
chr20,23852729,23856834	0.574	0.796	0.828	0.476
chr20,18677259,18677767	1.000	1.000	0.938	1.000
chr20,40509154,40509903	0.792	0.706	0.353	0.000
chr20,60609975,60611239	1.000	0.898	0.838	0.676
chr20,43880788,43881218	NA	0.091	0.755	0.000
chr20,55270658,55270851	1.000	0.600	NA	1.000
chr20,49617088,49617283	NA	0.733	0.786	0.176
chr20,31338462,31338614	NA	NA	0.346	0.887
chr20,6138448,6141310	0.905	0.868	0.943	0.667
chr20,2502040,2503081	0.190	0.065	0.308	0.500
chr20,25264343,25264509	NA	0.711	0.983	NA
chr20,61562415,61563074	0.600	0.682	0.449	0.184
chr20,55251263,55253106	0.769	0.822	0.571	0.889
chr20,24332507,24333159	1.000	0.982	0.975	0.600
chr20,25630980,25633351	0.851	1.000	0.928	0.800
chr20,42349083,42350183	0.889	0.471	0.179	0.778
chr20,53052660,53054906	0.985	0.806	0.820	0.854
chr20,34527846,34528452	0.591	0.933	0.931	NA
chr20,14929720,14931185	0.878	0.944	0.964	0.720
chr20,61851807,61852004	1.000	0.545	NA	NA
chr20,8112883,8113278	0.036	0.000	0.133	0.006
chr20,52491709,52492339	0.257	0.500	0.776	NA
chr20,51673952,51674521	0.107	NA	1.000	0.500
chr20,10333906,10334155	0.692	0.047	0.062	0.415
chr20,37033155,37034882	0.900	0.914	0.606	0.952
chr20,48917324,48919595	0.852	0.764	0.485	0.356
chr20,37767005,37767734	1.000	0.545	0.947	NA
chr20,13322451,13323866	0.915	0.857	0.905	0.595
chr20,12977690,12978741	0.769	0.682	0.943	1.000
chr20,52387973,52388356	1.000	1.000	0.714	1.000
chr20,24561559,24562765	0.815	0.940	0.892	0.686
chr20,36891043,36892221	0.860	0.995	0.810	0.912
chr20,24965699,24966899	0.043	0.114	0.341	NA
chr20,54399858,54401012	0.682	0.796	0.875	0.400
chr20,55989784,55990169	NA	0.722	0.727	1.000
chr20,25833759,25834372	0.808	0.271	0.918	0.629
chr20,33757865,33759149	1.000	0.925	0.982	0.877
chr20,19012376,19014367	0.733	1.000	0.864	0.400
chr20,55711244,55712130	0.921	0.680	0.407	0.485
chr20,17950129,17954360	0.366	0.552	0.402	0.227
chr20,48864727,48865642	1.000	0.962	0.750	1.000
chr20,10643865,10644719	0.522	0.648	0.848	0.787
chr20,41132514,41134629	0.690	0.873	0.915	0.704
chr20,50208051,50208219	1.000	0.238	1.000	NA
chr20,17046396,17048209	0.882	0.952	0.564	0.868
chr20,30749083,30750082	0.833	0.889	0.898	0.625
chr20,36096564,36097793	0.500	0.275	0.865	0.870
chr20,48210762,48211788	0.909	0.896	0.619	0.286
chr20,9095449,9099040	0.770	0.700	0.922	0.256
chr20,49150526,49150913	0.933	1.000	0.968	0.727
chr20,33351414,33351789	1.000	0.938	1.000	0.727
chr20,41221262,41221885	0.933	0.545	0.727	NA
chr20,52450030,52451434	0.455	0.676	0.378	0.356
chr20,57347290,57347433	1.000	0.882	1.000	NA
chr20,39208181,39211665	0.931	0.847	0.828	0.716
chr20,22257966,22260634	0.915	0.731	0.684	NA
chr20,58411651,58412030	NA	0.538	0.132	1.000
chr20,16349453,16351068	0.848	0.742	0.983	0.536
chr20,60929299,60929730	0.167	0.975	0.833	NA
chr20,60405495,60405802	NA	0.147	0.495	0.792
chr20,36213076,36214974	0.600	0.846	0.963	0.529
chr20,30366541,30367510	0.686	0.981	0.941	0.857
chr20,35173149,35173815	1.000	1.000	0.966	1.000
chr20,29844947,29848239	0.655	0.580	0.870	0.299
chr20,60054429,60055148	NA	0.796	0.931	1.000
chr20,42230842,42231336	1.000	1.000	0.944	0.812
chr20,36064675,36066416	0.990	0.964	0.976	0.667
chr20,57964779,57965044	0.800	1.000	1.000	NA
chr20,10253130,10253687	0.818	0.994	1.000	0.786
chr20,29974585,29974716	0.692	NA	NA	1.000
chr20,24256443,24257048	1.000	0.909	0.958	0.412
chr20,55062444,55063976	0.839	0.516	0.534	0.409
chr20,25616924,25618294	0.949	0.444	NA	NA
chr20,43476882,43479182	1.000	0.864	0.764	0.753
chr20,47897680,47897849	NA	NA	0.615	1.000
chr20,60000037,60001287	1.000	0.883	0.870	0.385
chr20,16542596,16542725	NA	0.132	0.615	NA
chr20,922170,925094	0.918	0.842	0.967	0.671
chr20,26071768,26072167	1.000	0.385	0.379	0.600
chr20,5595657,5597236	1.000	0.882	0.848	0.727
chr20,40067271,40069049	0.881	0.951	0.662	0.741
chr20,31892349,31893343	NA	0.900	0.612	0.727
chr20,25972298,25972620	0.906	0.375	0.962	NA
chr20,22891827,22892998	1.000	0.923	0.500	1.000
chr20,33688262,33688891	0.975	0.875	0.700	0.842
chr20,21653413,21654719	0.977	0.829	0.842	0.366
chr20,56083572,56084883	0.957	0.824	0.682	0.873
chr20,33816840,33817199	0.578	0.867	0.842	0.884
chr20,39157906,39161515	0.793	0.966	0.922	0.696
chr20,40737525,40739438	0.525	0.780	0.735	0.835
chr20,59369568,59369803	NA	0.591	0.333	1.000
chr20,48928121,48929238	0.697	0.894	1.000	0.909
chr20,47464764,47466209	0.745	0.848	0.544	1.000
chr20,57594915,57595675	0.077	0.900	0.821	NA
chr20,13755806,13756045	0.846	1.000	0.444	NA
chr20,19404020,19404878	0.706	0.478	0.294	0.312
chr20,16609085,16609895	1.000	0.967	0.967	0.400
chr20,41307184,41308021	NA	0.462	0.806	0.206
chr20,40865255,40866826	0.583	0.883	0.931	0.438
chr20,33330478,33333552	0.972	0.878	0.987	0.954
chr20,3633700,3634715	0.636	0.133	0.190	NA
chr20,19990273,19990830	0.277	0.771	0.773	1.000
chr20,56531962,56532834	NA	0.961	0.907	0.692
chr20,24758401,24759199	NA	0.841	0.487	0.769
chr20,47229104,47230229	0.974	0.765	0.870	0.714
chr20,32542882,32543690	NA	NA	0.824	0.308
chr20,32315655,32316669	0.455	0.786	0.971	0.931
chr20,62037216,62037942	0.769	0.951	0.968	0.535
chr20,23343671,23344023	0.605	0.864	0.571	0.364
chr20,48300089,48301946	0.821	0.764	0.858	0.508
chr20,40783413,40786189	0.878	0.864	0.922	0.714
chr20,22468775,22470198	0.643	0.867	0.077	0.364
chr20,53677958,53681780	0.703	0.829	0.682	0.954
chr20,18473886,18476872	0.452	0.773	0.903	0.618
chr20,60378595,60379814	0.309	0.400	0.348	0.016
chr20,21038487,21040386	0.895	0.500	0.792	1.000
chr20,46634258,46634910	0.640	0.971	0.800	NA
chr20,5838481,5840183	0.938	1.000	0.786	1.000
chr20,41233726,41234568	0.810	0.953	0.500	0.804
chr20,61009112,61009146	0.400	NA	NA	1.000
chr20,62291443,62291829	NA	0.634	0.958	NA
chr20,54546668,54547434	NA	0.947	0.854	0.548
chr20,51664248,51665701	0.939	0.869	0.860	0.267
chr20,18944899,18946911	0.455	0.846	0.905	0.886
chr20,61499080,61499303	0.925	0.939	0.324	0.688
chr20,23435766,23436472	1.000	0.595	0.697	NA
chr20,29931070,29931367	NA	0.974	0.667	NA
chr20,34436422,34438974	0.795	0.857	0.578	0.830
chr20,55276314,55277049	NA	0.462	0.106	0.840
chr20,13641691,13642329	0.978	0.860	0.524	0.881
chr20,20875145,20876120	0.436	0.929	0.791	0.805
chr20,5885886,5887543	0.907	0.821	0.878	0.467
chr20,10443742,10447435	0.967	0.925	0.874	0.671
chr20,8385080,8387488	0.769	0.943	0.622	0.444
chr20,43279617,43280226	0.017	0.149	0.035	0.217
chr20,35201883,35202328	0.000	0.000	0.218	NA
chr20,59592227,59592465	0.760	NA	0.767	0.978
chr20,484175,484800	NA	0.984	0.918	0.613
chr20,16812839,16813031	0.154	0.786	NA	NA
chr20,61702208,61702864	0.455	1.000	0.857	0.778
chr20,22744812,22745265	1.000	0.880	0.929	0.545
chr20,45666830,45668317	0.338	0.800	0.544	0.821
chr20,62875154,62875531	0.714	1.000	NA	1.000
chr20,49890440,49890680	NA	1.000	0.667	NA
chr20,29815364,29815598	0.864	0.538	0.500	0.598
chr20,19305438,19305808	0.871	0.800	NA	1.000
chr20,19791632,19792075	0.538	0.925	0.952	NA
chr20,3691484,3691713	0.379	0.765	0.190	0.250
chr20,42128720,42129675	NA	0.970	0.900	0.500
chr20,61659248,61661902	0.222	0.400	0.433	0.381
chr20,56063317,56063705	0.852	0.990	0.982	0.926
chr20,47965168,47967390	0.805	0.897	0.857	0.701
chr20,1890963,1891300	0.828	1.000	1.000	1.000
chr20,61316165,61318616	0.453	0.438	0.407	0.223
chr20,55500873,55501052	0.111	0.000	0.000	0.000
chr20,57151296,57152207	0.750	0.794	0.446	0.955
chr20,21952166,21957692	0.882	0.900	0.865	0.368
chr20,45893049,45893279	1.000	0.100	NA	1.000
chr20,31336884,31338248	0.556	0.846	0.781	0.448
chr20,24959578,24960036	1.000	0.538	0.962	NA
chr20,60799243,60799733	0.368	0.656	0.731	0.373
chr20,48908197,48909495	0.667	0.222	0.458	0.271
chr20,16797966,16798210	0.545	NA	NA	1.000
chr20,59426387,59429114	0.526	0.461	0.684	0.294
chr20,16203901,16204923	1.000	0.984	0.949	0.815
chr20,44783887,44784897	0.816	0.667	0.190	0.731
chr20,19117763,19118108	NA	0.312	0.684	0.870
chr20,50063763,50064404	0.872	0.852	0.762	1.000
chr20,30923010,30924502	0.898	0.988	0.937	0.861
chr20,45309960,45310544	0.821	0.459	0.317	0.367
chr20,55089653,55090108	1.000	0.983	0.804	0.920
chr20,45651152,45652378	0.848	0.839	0.838	0.621
chr20,46238699,46239426	1.000	0.706	NA	NA
chr20,12074928,12076490	1.000	0.800	0.219	1.000
chr20,60281861,60282273	0.903	0.952	0.829	0.063
chr20,17476236,17477150	1.000	1.000	0.912	0.851
chr20,799690,800141	0.039	0.238	0.038	0.125
chr20,17661091,17662036	0.231	0.067	0.105	0.471
chr20,35892755,35894049	0.462	0.611	0.778	0.806
chr20,19431015,19434469	0.488	0.785	0.573	0.155
chr20,53490727,53491965	1.000	0.984	0.933	1.000
chr20,35974679,35974751	0.000	0.127	NA	NA
chr20,50401020,50401970	0.929	0.891	0.872	0.651
chr20,33717244,33717813	NA	NA	0.079	1.000
chr20,60384338,60384916	0.568	0.722	0.905	0.857
chr20,49484317,49484748	0.935	1.000	0.760	0.385
chr20,36193299,36193518	NA	0.889	0.200	0.300
chr20,42238479,42238666	NA	0.320	NA	0.947
chr20,20573644,20575432	0.271	0.759	0.720	0.206
chr20,2074022,2076061	0.656	0.784	0.724	0.573
chr20,51023942,51025224	0.414	0.786	0.750	0.700
chr20,60179675,60181091	0.976	0.667	0.750	0.562
chr20,55612155,55612840	0.576	0.958	0.611	1.000
chr20,61836881,61837111	NA	0.522	0.938	0.840
chr20,11875719,11881423	0.880	0.816	0.892	0.696
chr20,4045616,4049689	0.667	0.408	0.641	0.414
chr20,44803631,44804387	0.467	0.833	0.360	0.130
chr20,60304639,60304978	0.839	0.559	0.878	NA
chr20,33288333,33289222	0.750	0.917	NA	0.476
chr20,5211621,5216976	0.975	0.828	0.901	0.701
chr20,47414586,47415525	0.733	0.523	0.581	0.192
chr20,49161739,49162279	0.314	0.444	0.586	0.179
chr20,50116687,50117733	NA	0.000	0.857	NA
chr20,59588351,59589851	0.759	0.964	0.667	0.481
chr20,9369729,9370790	0.931	0.303	0.400	0.455
chr20,54858968,54861740	0.633	0.900	0.750	0.922
chr20,13111698,13113121	0.435	0.826	0.328	0.674
chr20,21928552,21930409	0.645	0.816	0.941	0.787
chr20,62016021,62016558	1.000	NA	0.733	NA
chr20,58355475,58356785	0.800	0.809	0.943	0.755
chr20,3116245,3117445	1.000	0.945	0.911	1.000
chr20,43669428,43670435	0.750	0.657	0.977	0.429
chr20,38942081,38944765	0.800	0.930	0.887	0.486
chr20,4981065,4981200	NA	0.000	0.300	NA
chr20,36348391,36349339	1.000	0.873	0.913	0.769
chr20,12500649,12501070	NA	0.625	NA	1.000
chr20,55441341,55442607	0.689	0.877	0.660	0.500
chr20,40016840,40018243	0.586	0.962	0.927	0.642
chr20,26115313,26115753	NA	1.000	0.826	NA
chr20,59759494,59760358	0.629	0.901	0.646	1.000
chr20,45981054,45981715	NA	0.462	0.385	1.000
chr20,43703948,43704727	0.976	1.000	0.957	0.538
chr20,17441039,17445216	0.651	0.959	0.873	0.857
chr20,60895552,60895643	NA	0.615	0.727	0.983
chr20,38807525,38809441	1.000	0.940	0.957	1.000
chr20,17210741,17212642	0.800	0.423	0.171	0.344
chr20,44793078,44793289	NA	0.200	0.868	NA
chr20,56804513,56804779	NA	0.545	0.267	0.857
chr20,4710935,4712101	0.294	0.698	0.358	0.314
chr20,59062197,59062554	0.824	0.844	1.000	NA
chr20,271670,272846	0.099	0.189	0.465	0.192
chr20,17496519,17496770	0.750	1.000	1.000	NA
chr20,26169467,26173836	0.753	0.924	0.902	0.683
chr20,10345750,10347725	1.000	0.872	0.500	0.464
chr20,20435572,20435884	0.851	1.000	1.000	0.905
chr20,31568704,31569940	0.982	0.679	0.702	0.667
chr20,48891012,48891123	NA	NA	0.946	0.333
chr20,10668856,10669059	NA	0.667	0.951	0.714
chr20,10967834,10971098	0.976	0.952	0.817	0.750
chr20,34266639,34268142	1.000	0.923	1.000	0.588
chr20,47132080,47132387	0.765	0.641	0.762	0.678
chr20,20520256,20522233	0.843	0.989	1.000	0.333
chr20,30325997,30326545	0.750	0.868	0.727	0.400
chr20,29517511,29518133	0.211	0.682	0.321	0.571
chr20,7801039,7805462	0.766	0.798	0.905	0.737
chr20,37040126,37040625	0.545	0.917	0.708	1.000
chr20,38465476,38466614	0.561	0.886	0.857	0.985
chr20,55596786,55597172	NA	0.667	0.962	1.000
chr20,24928671,24932901	0.233	0.271	0.164	0.495
chr20,59382040,59382656	0.933	0.895	0.353	0.914
chr20,57750007,57750848	1.000	0.770	0.800	0.436
chr20,6503763,6503802	0.800	NA	NA	0.278
chr20,50974709,50976715	0.655	0.920	0.841	0.831
chr20,36621942,36626172	0.909	0.942	0.950	0.778
chr20,47740610,47741153	0.958	0.914	0.196	0.857
chr20,8160819,8162739	NA	0.727	0.981	NA
chr20,31270755,31271869	0.974	0.950	0.977	0.690
chr20,3732241,3732340	NA	NA	0.833	1.000
chr20,43587098,43587240	0.619	NA	1.000	0.905
chr20,47079998,47081150	0.263	0.968	0.885	0.636
chr20,52468398,52469244	0.875	0.900	0.610	0.750
chr20,46755853,46756153	0.857	0.364	0.955	0.533
chr20,39141983,39142738	0.719	0.690	0.909	NA
chr20,3200741,3201101	0.789	0.968	0.933	1.000
chr20,8082959,8085063	NA	0.700	0.667	1.000
chr20,58524610,58525056	0.200	1.000	NA	NA
chr20,61734485,61734732	0.267	0.095	0.000	0.583
chr20,2519195,2520933	0.769	0.418	0.863	0.609
chr20,60270772,60271611	0.962	0.837	0.679	0.583
chr20,45122142,45122159	1.000	1.000	NA	0.571
chr20,3612774,3614279	0.462	0.967	0.870	0.933
chr20,4615395,4615669	0.917	0.882	0.531	NA
chr20,62669195,62669519	0.000	0.000	0.000	0.056
chr20,773697,774289	0.864	1.000	0.810	0.385
chr20,36734075,36734263	1.000	0.308	0.867	NA
chr20,56139965,56141618	1.000	0.961	0.689	0.787
chr20,20299669,20300645	NA	0.700	0.060	NA
chr20,22009637,22010023	NA	0.065	NA	0.727
chr20,36493779,36494805	1.000	0.964	0.934	0.706
chr20,62894352,62895177	1.000	0.909	0.728	0.868
chr20,41417571,41418977	0.274	0.810	0.476	0.481
chr20,17606127,17607085	0.800	1.000	0.903	0.895
chr20,48847691,48849941	0.826	0.962	0.971	0.765
chr20,8534188,8537457	0.671	0.838	0.846	1.000
chr20,35183888,35184745	0.836	0.849	0.738	0.211
chr20,3661776,3662199	0.842	0.278	0.381	0.220
chr20,12963801,12968668	0.667	0.915	0.922	0.902
chr20,17290646,17293170	0.949	0.911	0.967	0.697
chr20,37361862,37364652	0.611	0.571	0.737	0.118
chr20,62651222,62652199	0.300	0.806	0.820	NA
chr20,43852210,43853605	1.000	0.714	0.733	0.138
chr20,29626460,29628372	NA	0.933	0.231	NA
chr20,52473326,52474489	NA	NA	0.978	0.154
chr20,46386185,46386351	0.769	0.842	0.421	NA
chr20,44485436,44486215	0.246	0.028	0.031	0.073
chr20,45374318,45375357	0.692	0.945	0.083	NA
chr20,55018121,55018438	1.000	0.864	0.981	NA
chr20,61179590,61181370	0.493	0.325	0.285	0.441
chr20,6918018,6920242	0.873	0.955	0.872	0.719
chr20,62331101,62331434	NA	0.903	0.976	0.333
chr20,41982824,41983508	1.000	0.909	0.969	0.804
chr20,45606629,45607341	0.707	0.966	0.946	0.932
chr20,51863015,51863686	0.948	0.865	0.920	0.750
chr20,31018891,31019215	NA	NA	1.000	0.000
chr20,5339155,5339927	1.000	0.963	0.880	0.742
chr20,1952905,1952981	NA	0.210	1.000	NA
chr20,12916616,12917538	0.627	0.946	0.964	1.000
chr20,9813850,9815090	0.940	1.000	0.810	NA
chr20,41407684,41411745	0.607	0.920	0.815	0.899
chr20,12737663,12740566	0.875	0.846	0.809	0.129
chr20,46607840,46608096	0.353	0.667	NA	0.778
chr20,37953278,37955663	0.900	0.575	0.639	0.083
chr20,61844642,61845281	1.000	1.000	0.900	1.000
chr20,6927202,6927723	0.941	0.774	0.967	1.000
chr20,32657794,32658854	0.741	0.750	0.790	0.348
chr20,43303673,43304185	0.115	NA	0.909	NA
chr20,20733635,20734478	0.136	0.812	0.609	0.462
chr20,59549497,59550124	0.833	0.454	0.894	0.540
chr20,5730659,5730971	0.569	0.286	0.735	0.111
chr20,54621939,54629303	0.875	0.891	0.929	0.722
chr20,52317465,52318233	0.867	0.364	0.550	0.207
chr20,4177500,4177976	0.625	0.958	0.944	NA
chr20,61512847,61513090	0.542	1.000	0.794	NA
