1chr_position	sample4	sample3	sample1	sample2
chr19,1533818,1534060	0.714	1.000	0.486	0.800
chr19,48237736,48238106	0.963	NA	1.000	0.845
chr19,4106277,4106682	0.988	0.953	0.909	0.652
chr19,31163730,31165694	0.903	0.832	0.695	0.885
chr19,15482481,15482880	1.000	0.882	0.917	0.640
chr19,2577091,2577724	0.686	0.731	0.294	1.000
chr19,12415825,12416416	1.000	1.000	1.000	0.238
chr19,38851416,38852119	0.449	0.125	0.478	0.286
chr19,49801022,49802758	1.000	1.000	0.902	1.000
chr19,12892283,12892360	NA	1.000	1.000	0.286
chr19,7147328,7148556	1.000	0.633	0.947	0.000
chr19,6503395,6503697	1.000	0.250	1.000	1.000
chr19,939404,939767	0.823	0.762	1.000	0.930
chr19,4124458,4125249	0.655	0.235	0.233	0.656
chr19,16841850,16843899	0.912	0.868	0.540	0.886
chr19,28236296,28237255	0.756	0.267	0.905	0.814
chr19,23972458,23973093	0.816	0.610	0.853	1.000
chr19,2741073,2745201	0.652	0.785	0.891	0.811
chr19,20152698,20155123	0.645	0.818	0.858	0.182
chr19,18163701,18164407	0.740	NA	0.868	1.000
chr19,5443756,5446441	0.554	0.815	0.797	0.478
chr19,56212916,56213412	0.783	1.000	1.000	0.250
chr19,57638965,57639839	0.691	1.000	0.850	0.794
chr19,21955863,21956612	0.944	0.727	1.000	1.000
chr19,1378193,1378738	0.839	0.933	0.913	1.000
chr19,46816768,46817601	0.816	0.464	0.323	0.962
chr19,48010333,48011101	0.838	0.652	0.684	1.000
chr19,50737649,50737839	0.182	0.607	0.000	0.464
chr19,2222757,2222952	0.833	0.842	0.979	0.600
chr19,55243840,55244477	0.929	1.000	0.640	1.000
chr19,11358963,11359347	0.933	NA	0.231	NA
chr19,14700942,14703340	0.904	0.780	0.880	0.553
chr19,46232860,46233459	0.143	0.333	0.636	NA
chr19,55045463,55046979	0.614	0.868	0.978	0.785
chr19,41620362,41622137	0.639	0.971	0.934	0.667
chr19,43526554,43527262	1.000	0.000	NA	NA
chr19,29119785,29120940	0.957	NA	0.917	0.679
chr19,2061631,2061819	NA	NA	0.000	0.393
chr19,1658857,1659308	0.826	0.941	0.889	0.588
chr19,38856156,38856536	0.833	0.357	0.267	1.000
chr19,4779736,4782337	0.581	0.942	0.733	0.944
chr19,24564422,24565183	0.386	0.219	0.410	0.560
chr19,46923152,46924058	0.545	0.658	0.884	0.947
chr19,41033533,41034229	0.857	1.000	0.086	NA
chr19,42946530,42946874	0.389	NA	0.538	0.857
chr19,58715219,58715350	0.646	1.000	0.607	0.212
chr19,5050025,5050552	0.978	0.927	0.815	0.600
chr19,40312874,40314632	0.367	0.632	0.450	0.222
chr19,8027837,8028158	0.688	0.500	0.917	NA
chr19,8018067,8018950	0.410	0.154	0.387	0.679
chr19,56367577,56368799	0.788	0.794	0.231	0.533
chr19,51774382,51774731	0.863	0.252	0.837	1.000
chr19,57933676,57934972	0.990	0.658	0.750	0.679
chr19,13557061,13562119	0.919	0.945	0.779	0.933
chr19,29593603,29593952	0.089	NA	0.917	NA
chr19,5282434,5284348	0.923	0.897	0.883	0.522
chr19,50947290,50948008	0.878	1.000	0.712	0.794
chr19,42567937,42570200	0.903	0.934	0.802	0.657
chr19,17249707,17250774	0.898	0.985	0.917	0.700
chr19,46100689,46102801	0.196	0.129	0.127	0.056
chr19,53930218,53933743	0.914	0.884	0.981	0.825
chr19,46286915,46287419	0.520	0.783	0.952	0.800
chr19,20843377,20843485	0.776	NA	NA	1.000
chr19,40798328,40798829	0.333	NA	1.000	0.704
chr19,54792739,54792947	1.000	NA	0.654	1.000
chr19,54777954,54780221	0.753	0.862	0.573	0.867
chr19,36633103,36633511	0.906	NA	0.700	0.188
chr19,10457831,10459428	0.988	0.920	0.934	0.793
chr19,52107157,52107808	0.632	0.943	0.241	1.000
chr19,8165858,8166856	0.649	0.921	0.938	0.536
chr19,1530515,1531204	0.887	0.889	0.773	0.956
chr19,33098240,33098672	0.948	NA	0.833	0.410
chr19,511779,512866	0.902	0.867	0.632	0.000
chr19,37959596,37960613	0.134	0.012	0.320	0.000
chr19,47650927,47651344	0.963	1.000	0.588	NA
chr19,6321677,6322429	0.952	0.784	0.630	NA
chr19,57557124,57557347	0.950	0.700	0.727	0.600
chr19,44733619,44734655	0.642	NA	1.000	0.913
chr19,32616745,32616964	NA	1.000	0.636	NA
chr19,21917447,21918397	0.455	0.947	1.000	0.761
chr19,16469984,16470241	0.308	0.556	0.667	0.769
chr19,47045313,47046172	0.289	0.178	0.488	0.417
chr19,38473487,38474058	0.857	0.875	0.974	0.667
chr19,8367616,8368156	0.939	1.000	0.688	0.500
chr19,1273514,1273775	0.559	0.077	0.560	0.273
chr19,20690639,20691912	0.412	0.808	0.771	0.649
chr19,46768192,46768930	0.657	0.211	0.353	0.440
chr19,49636904,49637459	0.028	0.000	0.500	0.057
chr19,35698580,35700642	0.772	0.770	0.882	0.358
chr19,34937729,34937799	NA	NA	1.000	0.576
chr19,52320737,52323731	0.694	0.802	0.494	0.511
chr19,35525609,35526932	0.680	0.940	0.860	0.906
chr19,53204868,53205991	0.959	0.912	1.000	0.594
chr19,46984456,46984612	0.769	0.452	0.871	0.978
chr19,49562613,49564168	0.910	0.855	0.863	0.593
chr19,58394520,58394942	0.909	1.000	0.739	1.000
chr19,17616160,17617551	0.898	0.838	0.690	0.889
chr19,53065025,53066995	0.846	0.839	0.750	1.000
chr19,32368136,32368715	1.000	NA	0.722	NA
chr19,41253161,41253626	0.955	1.000	0.776	NA
chr19,19231230,19231499	0.261	0.912	0.083	0.500
chr19,36311853,36314049	0.893	0.528	0.676	0.947
chr19,15366533,15366906	0.231	NA	0.957	NA
chr19,50953934,50954380	0.683	0.476	0.656	0.889
chr19,43966098,43966143	NA	0.682	1.000	NA
chr19,23581241,23581714	0.193	1.000	NA	NA
chr19,5034121,5034443	0.821	1.000	0.903	0.842
chr19,46266941,46268446	0.567	0.773	0.830	0.365
chr19,41116963,41117201	0.676	1.000	1.000	1.000
chr19,58496186,58496604	0.966	0.438	1.000	0.739
chr19,14745055,14745744	0.386	0.778	0.839	0.865
chr19,18390054,18390267	0.136	NA	0.118	0.700
chr19,34699898,34700093	NA	0.385	0.933	NA
chr19,30088472,30088844	0.913	0.879	0.519	0.810
chr19,12264899,12266191	0.898	0.697	0.889	0.509
chr19,18360670,18361260	0.952	NA	0.868	0.667
chr19,54902579,54903529	0.368	0.217	0.683	0.400
chr19,3864551,3866453	0.924	0.994	0.838	0.954
chr19,35953167,35954478	0.215	0.032	0.080	0.165
chr19,34084730,34086227	0.825	0.964	0.909	1.000
chr19,4958636,4958886	0.226	NA	0.900	NA
chr19,20150410,20151217	0.143	0.283	0.521	0.414
chr19,2040287,2040485	0.643	NA	NA	1.000
chr19,4047471,4047754	0.968	0.862	0.500	1.000
chr19,43613366,43618495	0.673	0.635	0.600	0.158
chr19,5441597,5441774	NA	NA	0.929	0.190
chr19,17184540,17185188	0.860	1.000	0.980	NA
chr19,46342828,46343503	0.571	0.839	0.994	1.000
chr19,55997031,55997424	0.278	NA	NA	1.000
chr19,31955212,31955642	0.800	0.978	0.381	NA
chr19,57856997,57857600	0.930	0.462	NA	0.924
chr19,44257673,44258267	0.689	0.265	0.383	0.792
chr19,52071533,52072511	0.923	0.923	0.923	0.111
chr19,457507,458129	0.968	0.968	0.951	0.588
chr19,37503872,37503971	0.957	NA	0.561	NA
chr19,49607571,49608511	0.880	0.750	0.491	0.631
chr19,1491514,1492044	0.660	0.478	0.382	0.233
chr19,29283452,29283810	0.381	1.000	0.955	NA
chr19,21949902,21950086	0.000	0.000	0.127	0.000
chr19,42470486,42470603	0.364	NA	0.991	1.000
chr19,34069090,34069544	0.815	0.921	0.824	0.560
chr19,2565622,2565836	0.810	0.600	0.800	0.406
chr19,51512191,51512573	0.766	0.968	0.765	1.000
chr19,21942748,21945461	0.955	0.783	0.784	0.911
chr19,39552809,39554551	0.854	0.971	0.881	0.770
chr19,30164044,30164669	0.680	0.846	0.197	0.064
chr19,32156045,32157222	0.973	0.979	0.886	0.514
chr19,13894454,13894767	0.647	0.900	1.000	NA
chr19,16928180,16930169	0.909	0.900	0.595	0.833
chr19,9309055,9310901	0.543	1.000	0.696	0.154
chr19,11828910,11829284	0.988	NA	0.786	0.467
chr19,50490407,50491460	0.413	0.354	0.926	0.146
chr19,45681607,45681898	0.229	0.000	0.000	NA
chr19,18385407,18385691	NA	0.333	NA	1.000
chr19,6428807,6430154	0.812	0.235	0.453	0.234
chr19,8443762,8444366	0.810	1.000	0.966	0.286
chr19,32983997,32985693	0.721	0.424	0.692	0.467
chr19,58728293,58728572	0.886	0.757	0.607	NA
chr19,310071,310371	NA	0.938	NA	0.494
chr19,20082570,20088097	0.816	0.819	0.581	0.730
chr19,7781788,7783980	0.729	0.857	0.381	0.891
chr19,24522280,24524294	0.600	0.537	0.683	0.890
chr19,2759524,2759916	0.848	0.992	0.913	0.444
chr19,3159502,3159619	0.944	0.933	0.846	0.400
chr19,1205080,1205322	0.831	NA	NA	1.000
chr19,29601329,29602094	0.769	1.000	0.235	0.690
chr19,32482940,32484685	0.953	0.676	0.917	1.000
chr19,55678509,55678975	0.103	0.050	0.343	NA
chr19,2765818,2766293	0.814	1.000	0.945	NA
chr19,5223268,5223349	0.063	0.947	1.000	NA
chr19,50481073,50482691	0.917	0.975	0.940	0.823
chr19,53917213,53918251	0.833	0.553	0.918	0.980
chr19,27987553,27987949	0.800	1.000	0.511	NA
chr19,3964568,3965086	0.862	0.976	1.000	0.933
chr19,58404686,58405449	0.889	0.591	1.000	1.000
chr19,42307417,42308551	0.333	0.600	0.844	0.742
chr19,38001363,38003409	0.902	0.818	0.806	0.974
chr19,3388932,3389564	0.918	0.885	0.929	0.308
chr19,43750740,43752598	0.841	0.935	0.900	0.985
chr19,11196622,11197652	0.977	0.910	0.923	0.911
chr19,35523443,35524185	0.818	0.778	0.930	0.545
chr19,55997540,55997907	0.909	1.000	0.973	0.786
chr19,44418306,44418774	0.846	0.632	0.583	1.000
chr19,54035121,54037830	0.978	0.948	0.841	0.934
chr19,35135557,35137344	0.713	0.756	0.843	0.875
chr19,41128254,41128481	1.000	NA	0.678	NA
chr19,35711594,35714510	0.739	0.567	0.857	0.500
chr19,45585596,45585804	0.917	NA	0.539	NA
chr19,48885140,48886188	0.612	0.675	0.667	0.885
chr19,47305700,47306076	0.994	0.931	1.000	0.600
chr19,5880634,5880764	0.000	0.500	NA	NA
chr19,49672973,49673105	1.000	NA	NA	0.565
chr19,23855255,23857863	1.000	0.973	0.928	0.576
chr19,49223719,49224222	0.259	0.179	0.275	0.773
chr19,39036596,39037272	0.992	0.879	0.950	0.897
chr19,7822450,7825335	0.889	0.788	0.943	0.696
chr19,2711665,2711999	0.913	0.833	0.797	0.353
chr19,17153074,17154247	0.740	0.887	0.838	0.368
chr19,41928593,41928804	1.000	NA	0.364	0.731
chr19,48365371,48365910	0.968	1.000	0.699	0.841
chr19,16432513,16432577	0.348	NA	NA	1.000
chr19,44949694,44950006	NA	NA	1.000	0.600
chr19,21545491,21545795	NA	NA	0.923	0.000
chr19,17906487,17907089	0.966	0.818	0.682	NA
chr19,1728152,1728557	0.735	0.755	0.944	0.000
chr19,18567503,18567805	NA	NA	1.000	0.500
chr19,54764770,54765305	0.229	1.000	0.783	0.963
chr19,1503788,1504359	0.089	0.455	0.421	0.750
chr19,53923936,53924620	0.621	0.943	0.853	0.943
chr19,11670985,11672247	0.259	0.571	0.211	0.371
chr19,57506690,57507005	0.059	0.269	0.630	0.829
chr19,30262606,30263120	0.385	0.787	0.333	1.000
chr19,55206199,55206853	0.682	0.765	0.955	0.841
chr19,34110004,34110410	0.576	0.636	0.904	0.857
chr19,4706874,4707977	0.905	0.955	0.897	0.656
chr19,34972799,34973169	0.000	NA	0.452	NA
chr19,3208112,3208499	0.968	NA	1.000	0.816
chr19,7221589,7223165	0.500	0.793	0.867	0.900
chr19,55626195,55626960	0.898	1.000	0.953	0.114
chr19,8903800,8904049	0.611	1.000	0.889	0.500
chr19,11734823,11734926	0.130	NA	0.927	0.938
chr19,55416107,55416219	NA	0.633	1.000	1.000
chr19,4700089,4700352	0.933	0.677	0.923	NA
chr19,8126788,8126918	NA	0.700	0.941	0.474
chr19,1350553,1351511	0.914	1.000	0.617	0.857
chr19,36736563,36737356	0.517	0.325	0.440	0.079
chr19,10803098,10803432	0.724	0.931	0.978	1.000
chr19,44540568,44546093	0.897	0.746	0.759	0.903
chr19,1931052,1932637	0.935	1.000	0.974	0.785
chr19,1274810,1274973	1.000	0.683	0.853	0.625
chr19,20371130,20373184	0.375	0.840	0.775	0.343
chr19,36953406,36954083	0.971	NA	0.724	0.680
chr19,55759646,55760479	0.796	1.000	1.000	0.981
chr19,57971537,57972702	0.500	0.649	0.706	0.952
chr19,53371908,53372745	1.000	NA	1.000	0.571
chr19,32083033,32085617	0.815	0.857	0.936	0.814
chr19,55310035,55310591	0.462	0.938	0.750	NA
chr19,41771250,41771734	0.143	NA	0.759	0.000
chr19,47804496,47804860	0.917	0.938	0.909	0.615
chr19,21753076,21754282	1.000	0.940	0.847	0.919
chr19,48635774,48636196	1.000	0.583	1.000	0.762
chr19,16665499,16666249	0.061	0.440	0.345	NA
chr19,45011296,45012732	0.540	0.718	0.714	0.773
chr19,42837298,42838153	0.932	0.808	0.724	0.833
chr19,22416253,22422137	0.692	0.765	0.699	0.439
chr19,36399134,36399215	0.200	0.000	0.000	NA
chr19,51683219,51684657	0.983	1.000	0.824	0.882
chr19,1098414,1098747	0.985	0.897	0.750	0.750
chr19,41600003,41600523	0.636	0.889	0.867	0.667
chr19,376033,376950	0.867	1.000	0.664	0.723
chr19,41278578,41281079	0.836	0.648	0.933	0.848
chr19,54139596,54140016	0.637	0.667	0.842	0.941
chr19,13736146,13736847	0.783	0.894	0.180	0.783
chr19,41597444,41597591	0.588	0.625	0.467	0.000
chr19,23004679,23006940	0.865	0.950	0.771	0.210
chr19,15785745,15789443	0.540	0.118	0.639	0.662
chr19,4998998,4999886	0.895	1.000	0.612	0.970
chr19,4722801,4723552	0.008	0.086	0.034	0.514
chr19,46919166,46919292	0.614	0.909	0.833	1.000
chr19,34259576,34259947	0.879	NA	0.500	0.400
chr19,55641214,55641386	0.909	0.941	NA	0.471
chr19,48198775,48199121	1.000	0.727	0.945	0.692
chr19,30657918,30658429	0.720	1.000	NA	0.963
chr19,19718925,19719327	0.217	0.950	0.909	0.765
chr19,15311291,15312078	0.098	0.000	0.158	0.125
chr19,46902514,46902943	0.065	0.278	0.600	0.478
chr19,22709607,22711581	0.696	0.692	0.549	0.650
chr19,22000483,22000995	NA	0.389	NA	1.000
chr19,29217691,29218904	0.189	0.300	0.361	0.593
chr19,37452702,37453493	0.991	1.000	NA	0.565
chr19,15407203,15408343	0.831	0.771	0.600	0.571
chr19,49997926,49998027	0.562	1.000	NA	NA
chr19,32928150,32929471	0.917	1.000	0.256	1.000
chr19,36542761,36544248	0.778	0.925	0.961	0.912
chr19,30132317,30132847	0.800	0.944	0.833	0.516
chr19,11514487,11514837	0.600	NA	NA	1.000
chr19,17849231,17849591	0.800	NA	1.000	NA
chr19,37690418,37691848	0.986	1.000	0.864	0.860
chr19,28825434,28827970	0.870	0.407	0.700	0.659
chr19,2430973,2431487	0.432	0.812	0.364	0.254
chr19,56837448,56842560	0.904	0.940	0.864	0.971
chr19,54304772,54306118	0.960	0.944	0.957	0.689
chr19,38253700,38255273	1.000	0.883	0.953	1.000
chr19,51878008,51878471	1.000	0.976	0.727	1.000
chr19,45047249,45048368	0.845	0.302	0.800	0.828
chr19,13968859,13969777	0.797	NA	0.980	NA
chr19,42788468,42788810	0.000	0.059	NA	0.213
chr19,57010836,57012462	0.878	0.750	0.744	1.000
chr19,29983320,29983457	0.071	1.000	0.182	0.444
chr19,57562703,57564640	0.837	0.385	0.472	0.949
chr19,1474066,1474585	0.690	NA	0.889	0.459
chr19,41769126,41769316	0.000	0.128	0.000	NA
chr19,15008110,15009546	0.842	0.891	0.868	0.250
chr19,16948867,16949638	0.863	0.962	0.906	0.516
chr19,11006016,11006467	0.562	NA	NA	1.000
chr19,39669324,39669534	0.600	NA	0.933	1.000
chr19,1598622,1600179	0.942	0.929	0.955	0.232
chr19,2944396,2944904	0.089	0.286	0.306	0.000
chr19,45999954,46000397	0.384	NA	0.022	NA
chr19,50262400,50263361	0.995	1.000	0.956	0.556
chr19,41231501,41232519	0.923	1.000	0.920	0.100
chr19,49605156,49605376	0.917	NA	0.400	NA
chr19,30866398,30866941	0.520	0.265	0.471	0.967
chr19,30959180,30960272	0.795	0.882	0.963	0.977
chr19,3193475,3195173	0.443	0.707	0.764	0.431
chr19,321988,322283	NA	NA	0.509	1.000
chr19,47487821,47488271	0.360	0.484	0.585	0.735
chr19,4604694,4605862	0.881	0.691	0.721	0.217
chr19,56539134,56539386	0.948	0.647	0.808	0.853
chr19,39800390,39800721	0.918	0.982	0.972	0.778
chr19,55081895,55082829	0.944	1.000	0.909	0.700
chr19,14255612,14256642	0.984	0.788	0.697	0.674
chr19,9096514,9097895	0.825	0.895	0.788	0.194
chr19,34273182,34275091	0.759	0.966	0.680	1.000
chr19,3984211,3984721	0.323	0.000	0.547	0.083
chr19,20664224,20665250	0.857	NA	0.667	1.000
chr19,15153099,15154530	0.975	0.882	0.350	0.806
chr19,32063072,32063781	0.963	NA	NA	0.583
chr19,32853126,32854503	0.719	0.945	0.951	0.882
chr19,29790877,29792902	0.962	0.966	0.868	0.866
chr19,13570882,13571775	0.243	0.467	0.547	0.197
chr19,45550797,45552135	0.700	0.870	0.056	0.792
chr19,28923864,28924273	0.583	1.000	0.875	NA
chr19,3185933,3186045	0.000	0.302	0.000	NA
chr19,33300338,33301170	0.704	0.462	0.857	0.545
chr19,55222493,55223045	0.010	0.094	0.417	0.308
chr19,1409477,1410731	0.620	0.453	0.895	0.534
chr19,58424948,58425713	0.714	0.951	0.435	0.636
chr19,4411933,4412854	0.926	1.000	0.987	1.000
chr19,50552486,50553241	1.000	NA	0.857	0.568
chr19,1360704,1361300	0.714	0.250	0.756	0.382
chr19,49480585,49480835	0.989	NA	0.500	NA
chr19,33757110,33758599	0.474	0.147	0.500	0.138
chr19,40324908,40325252	0.136	NA	0.500	0.089
chr19,49788456,49788643	0.250	NA	0.931	1.000
chr19,20938013,20938898	0.821	1.000	0.969	1.000
chr19,17336289,17336635	0.652	NA	0.344	0.703
chr19,51110420,51110877	0.878	0.912	0.779	1.000
chr19,22044939,22046554	0.895	0.590	0.933	1.000
chr19,21645564,21647290	0.418	0.176	0.370	0.149
chr19,12718986,12719346	0.771	0.905	0.976	NA
chr19,43982774,43983044	0.619	NA	0.957	1.000
chr19,11241626,11242431	0.649	0.552	0.968	0.800
chr19,8141031,8141864	0.677	0.872	0.762	0.400
chr19,53259918,53260592	0.958	0.600	0.958	1.000
chr19,34240735,34241492	0.768	1.000	0.828	0.833
chr19,19430285,19430880	0.561	0.515	0.264	0.190
chr19,55813979,55814113	0.917	0.455	NA	0.986
chr19,3688065,3688837	0.093	NA	0.229	0.468
chr19,49668622,49669286	0.915	0.800	0.571	0.556
chr19,4296133,4296610	0.887	0.905	0.833	0.333
chr19,56541048,56541595	0.750	1.000	0.667	1.000
chr19,23728550,23731284	0.958	0.814	0.830	0.593
chr19,37143631,37146297	0.969	1.000	0.967	0.758
chr19,1239906,1240055	0.800	NA	0.769	0.000
chr19,5023340,5023694	0.682	1.000	0.938	1.000
chr19,6092545,6092993	0.659	0.733	0.838	1.000
chr19,49245633,49247201	0.917	0.517	0.910	0.662
chr19,51581568,51582196	0.706	0.857	0.477	0.846
chr19,1305980,1306690	0.884	1.000	0.857	1.000
chr19,38168381,38169635	0.759	0.590	0.760	0.976
chr19,47375901,47376685	1.000	1.000	0.977	0.855
chr19,21306248,21306408	0.750	0.892	0.988	NA
chr19,11740305,11740586	NA	1.000	1.000	0.810
chr19,43067171,43067867	0.148	0.077	0.152	0.500
chr19,52342436,52343471	0.966	0.712	0.978	0.962
chr19,30138525,30139044	0.960	0.594	0.897	0.474
chr19,21842111,21844000	0.925	0.911	0.841	0.661
chr19,3247279,3248493	0.783	0.908	0.914	0.510
chr19,32715489,32715819	0.292	0.000	0.000	0.000
chr19,42365022,42366943	0.559	0.225	0.375	0.441
chr19,1621215,1621316	1.000	NA	NA	0.571
chr19,3644690,3645576	0.657	0.830	0.786	1.000
chr19,42753783,42754582	0.788	0.453	0.740	0.686
chr19,36124555,36124757	1.000	NA	0.350	1.000
chr19,36822000,36822419	0.288	0.030	0.509	0.000
chr19,55396417,55397395	0.926	0.905	0.982	0.659
chr19,53286918,53287105	0.243	0.867	0.696	0.926
chr19,31608663,31611342	0.480	0.277	0.662	0.783
chr19,24512552,24512898	0.158	0.786	0.545	NA
chr19,46032768,46033026	0.105	0.111	0.500	0.571
chr19,48765379,48765877	NA	NA	0.920	0.400
chr19,44711298,44711530	0.455	0.500	0.278	0.045
chr19,21666706,21666787	0.977	NA	0.611	NA
chr19,31940500,31941818	0.610	0.656	0.918	0.980
chr19,27838663,27839844	0.412	0.294	0.294	0.179
chr19,30211629,30214230	0.844	0.976	0.948	0.946
chr19,35965129,35967124	0.930	0.901	0.898	0.773
chr19,24593511,24593751	0.941	0.656	1.000	0.894
chr19,17983447,17984006	0.050	0.053	0.388	NA
chr19,16600619,16601356	0.984	1.000	0.931	0.783
chr19,56227691,56228308	0.914	0.745	1.000	NA
chr19,39681308,39682747	0.939	0.677	0.720	0.571
chr19,7910717,7910951	0.900	1.000	NA	0.647
chr19,22200925,22203822	0.838	0.975	0.625	0.705
chr19,48426051,48435157	0.860	0.818	0.500	0.444
chr19,14432343,14435817	0.948	0.645	0.949	0.926
chr19,40723170,40724122	0.192	0.293	0.053	0.000
chr19,40787139,40787744	0.875	NA	0.900	0.217
chr19,3333054,3334273	0.700	0.500	0.944	0.809
chr19,51401349,51401959	NA	0.947	0.951	0.636
chr19,1453848,1454192	0.533	NA	0.711	0.167
chr19,43057358,43059498	0.591	0.077	0.182	0.438
chr19,53483823,53485089	0.812	0.879	0.875	0.522
chr19,47991900,47992733	0.966	0.692	0.745	1.000
chr19,51416121,51416620	0.016	0.281	0.000	0.000
chr19,34949274,34949643	1.000	0.912	1.000	NA
chr19,14625145,14625999	0.962	NA	0.679	0.903
chr19,835034,835325	0.588	NA	0.966	0.696
chr19,20490298,20492260	0.736	0.930	0.282	0.394
chr19,32680558,32681936	0.880	0.660	0.787	0.523
chr19,245533,246131	0.333	0.786	0.929	NA
chr19,6478313,6478413	NA	0.957	0.977	0.389
chr19,708309,709276	0.167	NA	0.294	0.138
chr19,28486569,28487119	0.688	0.958	0.607	1.000
chr19,41088934,41090729	0.884	0.939	0.831	0.597
chr19,52225003,52225985	0.748	1.000	0.921	0.963
chr19,32086474,32086762	1.000	NA	0.833	0.364
chr19,1788519,1788809	0.256	NA	0.943	0.750
chr19,51171404,51171889	0.157	0.000	0.111	0.000
chr19,12138093,12139732	0.938	0.650	0.948	0.647
chr19,57322115,57324047	0.868	0.825	0.667	0.596
chr19,50426421,50427493	0.684	0.886	0.903	0.818
chr19,37345707,37346200	NA	0.720	1.000	1.000
chr19,53408630,53409656	0.895	0.967	0.778	0.974
chr19,33415989,33417115	0.841	0.980	0.714	0.756
chr19,17057495,17059121	0.857	1.000	0.970	0.629
chr19,31248472,31249738	1.000	1.000	0.920	0.406
chr19,43688811,43691142	0.595	0.923	0.833	0.745
chr19,17180190,17181054	0.219	0.679	0.929	1.000
chr19,52976142,52976515	0.625	0.974	0.778	NA
chr19,5740644,5740810	NA	1.000	0.370	NA
chr19,42735784,42737427	0.902	0.653	0.809	0.766
chr19,53449438,53450318	0.252	0.373	0.554	0.664
chr19,35980591,35981462	0.825	0.900	0.900	0.100
chr19,2175140,2176274	0.910	0.943	0.842	0.769
chr19,42457969,42458389	0.570	0.647	0.900	1.000
chr19,55799483,55800957	0.914	1.000	0.885	0.675
chr19,14958218,14958446	NA	0.971	1.000	0.805
chr19,27854404,27855977	0.396	0.607	0.667	0.305
chr19,33787579,33788109	0.810	NA	0.429	0.267
chr19,35263483,35263900	0.286	0.000	0.053	0.102
chr19,56825366,56825732	0.091	NA	0.398	NA
chr19,31024053,31024602	0.926	NA	0.640	1.000
chr19,4864223,4865237	0.882	0.811	0.938	0.326
chr19,8082899,8083188	0.381	0.922	1.000	1.000
chr19,11520294,11520482	0.571	1.000	NA	0.933
chr19,8979884,8980671	0.733	NA	0.500	1.000
chr19,1186887,1187088	0.462	NA	1.000	NA
chr19,53653924,53654271	0.538	NA	0.941	0.300
chr19,4306738,4307026	0.538	NA	0.950	NA
chr19,5408487,5409486	0.824	0.960	0.750	0.444
chr19,13951064,13952804	0.161	0.105	0.231	0.441
chr19,3884648,3884859	0.833	1.000	1.000	0.350
chr19,56828605,56829106	0.278	NA	1.000	1.000
chr19,58184205,58184984	0.891	0.542	0.872	0.700
chr19,54624196,54625360	0.955	0.981	0.796	0.655
chr19,17918882,17919096	0.424	NA	0.739	0.000
chr19,32776083,32776240	0.786	0.917	0.656	1.000
chr19,54632551,54632669	NA	NA	1.000	0.217
chr19,54930359,54931433	0.925	0.800	0.781	0.922
chr19,47983150,47983668	0.114	0.527	0.286	NA
chr19,32612835,32613447	0.818	1.000	0.657	0.787
chr19,12724309,12724911	NA	0.000	0.160	0.417
chr19,2764135,2764630	0.889	1.000	0.765	0.333
chr19,56540437,56540926	0.810	NA	0.833	0.389
chr19,42652848,42654043	0.921	1.000	0.758	0.600
chr19,52893385,52895025	0.992	0.954	0.854	0.386
chr19,42901726,42902039	0.557	0.889	0.160	0.361
chr19,54567359,54567536	0.600	0.913	0.250	0.455
chr19,24037591,24040234	0.829	0.670	0.821	0.514
chr19,3526738,3527137	0.824	0.976	0.800	NA
chr19,21053548,21054154	0.759	0.950	0.857	1.000
chr19,39660259,39660360	0.462	1.000	1.000	1.000
chr19,46886899,46887181	0.952	0.978	1.000	0.769
chr19,2178437,2178990	0.944	0.500	0.694	0.878
chr19,17279825,17280775	0.825	NA	1.000	1.000
chr19,42383462,42384975	0.833	0.600	0.929	0.000
chr19,5356737,5357135	0.594	0.611	0.337	0.893
chr19,27737457,27738164	0.641	0.603	0.741	0.611
chr19,49926826,49927308	0.135	0.318	0.176	0.077
chr19,19068656,19069743	0.804	0.583	0.943	1.000
chr19,49987774,49988037	0.875	1.000	1.000	0.593
chr19,30122213,30123922	0.721	0.988	0.750	0.588
chr19,34615305,34617493	0.889	0.773	0.770	1.000
chr19,49495661,49498467	0.073	0.392	0.217	0.411
chr19,57028692,57038043	0.902	0.916	0.853	0.669
chr19,30471595,30472376	0.684	1.000	0.909	0.510
chr19,42289646,42290957	0.178	0.075	0.385	0.539
chr19,30329164,30329614	0.909	1.000	0.778	0.724
chr19,719097,719373	NA	0.185	0.518	NA
chr19,32474909,32480112	0.769	0.875	0.875	0.898
chr19,41136532,41137981	0.960	1.000	0.927	0.775
chr19,55888136,55889458	0.569	0.571	0.615	0.330
chr19,31636477,31638937	0.895	0.923	0.938	0.652
chr19,1945106,1945547	0.885	1.000	1.000	0.500
chr19,2574440,2575767	0.897	0.778	0.448	0.074
chr19,55859913,55860165	0.615	1.000	1.000	NA
chr19,30375274,30375638	0.983	NA	0.636	0.864
chr19,56014915,56014985	0.000	0.094	0.345	0.478
chr19,18952543,18952718	0.950	1.000	0.444	0.941
chr19,43084959,43085933	0.840	0.684	0.900	0.973
chr19,2379306,2380421	0.917	NA	0.522	1.000
chr19,1400819,1402714	0.292	0.380	0.056	0.109
chr19,33367968,33368402	0.750	0.826	0.204	1.000
chr19,880789,881613	0.891	0.812	0.994	0.889
chr19,1096243,1096427	0.800	NA	1.000	0.543
